cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age_log,concrete_compressive_strength
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,4.5217885770490405,56.5
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,2.0794415416798357,12.05
362.6,189.0,0.0,164.9,11.6,944.7,755.8,1.3862943611198906,35.3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,4.61512051684126,53.9
250.0,0.0,95.7,191.8,5.3,948.9,857.2,4.04305126783455,39.64
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,3.367295829986474,39.38
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.367295829986474,57.03
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,2.0794415416798357,52.61
342.0,38.0,0.0,228.0,0.0,932.0,670.0,5.198497031265826,52.12
359.0,19.0,141.0,154.0,10.9,942.0,801.0,1.3862943611198906,23.64
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.367295829986474,33.66
266.0,112.0,87.0,178.0,10.0,910.0,745.0,3.367295829986474,39.42
385.0,0.0,0.0,186.0,0.0,966.0,763.0,0.6931471805599453,6.27
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,2.70805020110221,25.62
158.0,0.0,195.0,220.0,11.0,898.0,713.0,3.367295829986474,8.54
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,3.367295829986474,17.54
300.0,0.0,120.0,212.0,10.0,878.0,728.0,3.367295829986474,23.84
273.0,105.0,82.0,210.0,9.0,904.0,680.0,3.367295829986474,37.17
266.0,114.0,0.0,228.0,0.0,932.0,670.0,5.902633333401366,52.91
284.0,15.0,141.0,179.0,5.5,842.0,801.0,4.04305126783455,44.52
491.0,26.0,123.0,210.0,3.9,882.0,699.0,4.04305126783455,59.59
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,2.0794415416798357,14.84
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3.367295829986474,17.96
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,1.3862943611198906,13.62
350.0,0.0,0.0,203.0,0.0,974.0,775.0,3.367295829986474,27.34
252.3,0.0,98.8,146.3,14.2,987.8,889.0,2.70805020110221,42.29
260.0,101.0,78.0,171.0,10.0,936.0,763.0,3.367295829986474,49.77
237.0,92.0,71.0,247.0,6.0,853.0,695.0,3.367295829986474,28.63
249.1,0.0,98.8,158.1,12.8,987.8,889.0,4.61512051684126,51.06
